query_index,class_id,best_same,best_cross,nn_sim,nn_same_class
0,40255,0.941772,0.494579,0.941772,true
10,181,0.809903,0.643181,0.809903,true
20,24815,0.985703,0.680127,0.985703,true
30,23832,0.850531,0.881697,0.881697,false
40,47624,0.911608,0.647277,0.911608,true
50,46530,0.991014,0.644163,0.991014,true
60,34486,0.961566,0.713518,0.961566,true
70,17249,0.790741,0.573780,0.790741,true
80,15688,0.960354,0.651435,0.960354,true
90,11841,0.877537,0.549298,0.877537,true
100,39925,0.969980,0.779315,0.969980,true
110,22525,0.773268,0.846062,0.846062,false
120,14464,0.923855,0.857469,0.923855,true
130,37015,0.879858,0.493772,0.879858,true
140,6540,0.871193,0.563156,0.871193,true
150,46952,0.921683,0.493825,0.921683,true
160,40354,0.969464,0.540407,0.969464,true
170,38709,0.966487,0.851017,0.966487,true
180,35563,0.948527,0.575493,0.948527,true
190,22794,0.900541,0.485811,0.900541,true
200,6540,0.877471,0.690241,0.877471,true
210,3256,0.879195,0.600587,0.879195,true
220,25259,0.889955,0.672162,0.889955,true
230,33978,0.957101,0.751517,0.957101,true
240,38494,0.992545,0.491012,0.992545,true
250,55741,0.925649,0.706956,0.925649,true
260,38552,0.964165,0.653036,0.964165,true
270,14847,0.992826,0.395887,0.992826,true
280,3966,0.812424,0.699451,0.812424,true
290,58776,0.933815,0.598855,0.933815,true
300,8064,0.934600,0.550384,0.934600,true
310,6911,0.986787,0.675491,0.986787,true
320,20093,0.819492,0.718039,0.819492,true
330,55718,0.925480,0.622692,0.925480,true
340,17233,0.952686,0.562933,0.952686,true
350,16802,0.980786,0.640733,0.980786,true
360,39566,0.995869,0.635219,0.995869,true
370,28075,0.921890,0.375013,0.921890,true
380,49179,0.956977,0.774633,0.956977,true
390,18037,0.950161,0.627458,0.950161,true
400,2556,0.861166,0.586642,0.861166,true
410,44631,0.986224,0.605868,0.986224,true
420,19612,0.840983,0.699659,0.840983,true
430,34127,0.821795,0.713909,0.821795,true
