group,sim
same,0.776759
same,0.998327
same,0.889644
same,0.852063
same,0.991082
same,0.759902
same,0.721548
same,0.801000
same,0.724470
same,0.768638
same,0.964024
same,0.946287
same,0.988151
same,0.983399
same,0.998970
same,0.940375
same,0.834170
same,0.875678
same,0.941195
same,0.987095
same,0.881795
same,0.742155
same,0.906685
same,0.910342
same,0.731165
same,0.699237
same,0.797569
same,0.784800
same,0.871909
same,0.803314
same,0.840040
same,0.918105
same,0.887695
same,0.808945
same,0.752974
same,0.760444
same,0.970390
same,0.927612
same,0.809903
same,0.696863
same,0.890188
same,0.912093
same,0.790065
same,0.488287
same,0.734426
same,0.807694
same,0.670299
same,0.604728
same,0.672349
same,0.860959
same,0.911763
same,0.970845
same,0.750933
same,0.984518
same,0.980004
same,0.705166
same,0.810209
same,0.792695
same,0.731465
same,0.673028
same,0.680526
same,0.901058
same,0.779086
same,0.655931
same,0.782473
same,0.872202
same,0.846298
same,0.910914
same,0.870038
same,0.757438
same,0.735349
same,0.682494
same,0.991704
same,0.872794
same,0.910856
same,0.850597
same,0.799136
same,0.944141
same,0.941036
same,0.943712
same,0.747558
same,0.971584
same,0.870619
same,0.946793
same,0.880968
same,0.813823
same,0.915865
same,0.487429
same,0.889462
same,0.977251
same,0.840820
same,0.828283
same,0.755747
same,0.848006
same,0.745548
same,0.777384
same,0.845954
same,0.831460
same,0.818173
same,0.960852
same,0.849797
same,0.859775
same,0.966553
same,0.630528
same,0.768864
same,0.825980
same,0.961113
same,0.648767
same,0.954782
same,0.925139
same,0.743953
same,0.659028
same,0.772631
same,0.826500
same,0.842708
same,0.809844
same,0.793512
same,0.757751
same,0.856339
same,0.939393
same,0.657677
same,0.780050
same,0.800012
same,0.924986
same,0.820699
same,0.922658
same,0.866266
same,0.898397
same,0.951688
same,0.926053
same,0.883416
same,0.829811
same,0.909634
same,0.914511
same,0.862750
same,0.691733
same,0.912263
same,0.916319
same,0.971144
same,0.875149
same,0.855558
same,0.960672
same,0.752230
same,0.933398
same,0.886111
same,0.950722
same,0.992867
same,0.981041
same,0.816633
same,0.997547
same,0.929542
same,0.969742
same,0.890727
same,0.940927
same,0.842368
same,0.810906
same,0.963655
same,0.902202
same,0.708070
same,0.536035
same,0.904615
same,0.969108
same,0.971615
same,0.983162
same,0.879221
same,0.777538
same,0.889147
same,0.872617
same,0.834152
same,0.868433
same,0.837524
same,0.630811
same,0.779262
same,0.871837
same,0.852308
same,0.870307
same,0.758656
same,0.748497
same,0.838568
same,0.782222
same,0.863214
same,0.959456
same,0.874388
same,0.871721
same,0.803471
same,0.738548
same,0.866516
same,0.667280
same,0.941314
same,0.996545
same,0.859023
same,0.981019
same,0.987874
same,0.996717
same,0.678632
same,0.930748
same,0.739398
same,0.683622
same,0.733818
same,0.778882
same,0.874973
same,0.762204
same,0.936821
same,0.942355
same,0.679902
same,0.854233
same,0.754654
same,0.945245
same,0.793035
same,0.721764
same,0.911873
same,0.826767
same,0.753239
same,0.985671
same,0.978164
same,0.982757
same,0.857334
same,0.721860
same,0.747805
same,0.856740
same,0.781483
same,0.624532
same,0.900322
same,0.898213
same,0.956383
same,0.785253
same,0.751959
same,0.638912
same,0.785799
same,0.909270
same,0.706935
same,0.817291
same,0.924719
same,0.871314
same,0.978346
same,0.976058
same,0.834745
same,0.908966
same,0.885813
same,0.683408
same,0.936708
same,0.929325
same,0.892951
same,0.894934
same,0.895916
same,0.606099
same,0.667266
same,0.830199
