policy,delta,queries,hits,hit_rate,false_hits,false_hit_rate,false_misses,false_miss_rate,p50_lookup_us,p99_lookup_us,p50_total_ms,p99_total_ms
gd,0.01,200000,25095,0.125475,134,0.000670,166804,0.834020,18895,37535,743.423,3168.255
gd,0.02,200000,45965,0.229825,262,0.001310,145934,0.729670,18847,37439,659.455,3067.903
gd,0.05,200000,93045,0.465225,742,0.003710,98854,0.494270,18831,37695,343.039,2779.135
gd,0.10,200000,137348,0.686740,1609,0.008045,54551,0.272755,18655,37119,21.695,2445.311
gd,0.20,200000,167520,0.837600,3821,0.019105,24379,0.121895,18607,37023,20.015,2051.071
ld,0.01,200000,20447,0.102235,13,0.000065,171452,0.857260,18591,36991,759.295,3182.591
ld,0.02,200000,37582,0.187910,27,0.000135,154317,0.771585,18607,37023,694.271,3108.863
ld,0.05,200000,77375,0.386875,74,0.000370,114524,0.572620,18607,37023,486.911,2887.679
ld,0.10,200000,118098,0.590490,156,0.000780,73801,0.369005,18639,37087,24.351,2625.535
ld,0.20,200000,145881,0.729405,480,0.002400,46019,0.230095,18687,37311,21.167,2365.439
ld3,0.01,200000,23841,0.119205,27,0.000135,168058,0.840290,18623,37087,747.007,3170.303
ld3,0.02,200000,44062,0.220310,72,0.000360,147837,0.739185,18623,37055,667.135,3074.047
ld3,0.05,200000,88723,0.443615,211,0.001055,103176,0.515880,18607,37055,393.471,2803.711
ld3,0.10,200000,131599,0.657995,624,0.003120,60307,0.301535,18639,37119,22.399,2514.943
ld3,0.20,200000,153903,0.769515,2042,0.010210,38043,0.190215,18623,37055,20.671,2265.087
