id,sim,decision,correct,lookup_us
0,-1.000000,MISS,,15975
1,0.003814,MISS,,16999
2,0.100173,MISS,,15269
3,0.067499,MISS,,15239
4,0.163825,MISS,,14481
5,0.048026,MISS,,14489
6,0.274061,MISS,,21255
7,0.128785,MISS,,20102
8,0.091703,MISS,,14106
9,0.197409,MISS,,14083
10,0.213234,MISS,,14505
11,0.159831,MISS,,13686
12,0.170025,MISS,,14714
13,0.275577,MISS,,14044
14,0.300202,MISS,,15431
15,0.251400,MISS,,15080
16,0.154715,MISS,,13531
17,0.338786,MISS,,16674
18,0.454956,MISS,,13758
19,0.329872,MISS,,13594
20,0.206395,MISS,,13082
21,0.196982,MISS,,14639
22,0.206882,MISS,,13564
23,0.121835,MISS,,15369
24,0.180033,MISS,,14909
25,0.219411,MISS,,15526
26,0.291089,MISS,,19494
27,0.221296,MISS,,22589
28,0.290521,MISS,,24119
29,0.118950,MISS,,20770
30,0.354017,MISS,,20457
31,0.217743,MISS,,17007
32,0.276549,MISS,,17164
33,0.416235,MISS,,15446
34,0.226744,MISS,,17491
35,0.387624,MISS,,17495
36,0.435971,MISS,,16402
37,0.350992,MISS,,16563
38,0.330640,MISS,,42053
39,0.650280,MISS,,20426
40,0.296575,MISS,,22544
41,0.372306,MISS,,20105
42,0.315108,MISS,,15254
43,0.216204,MISS,,20006
44,0.208621,MISS,,22104
45,0.281416,MISS,,21668
46,0.269234,MISS,,21829
47,0.173735,MISS,,16597
48,0.148909,MISS,,19514
49,0.819297,MISS,,17685
50,0.353983,MISS,,20139
51,0.285054,MISS,,18973
52,0.291345,MISS,,21635
53,0.322326,MISS,,17920
54,0.197756,MISS,,13959
55,0.303855,MISS,,14787
56,0.356876,MISS,,15171
57,0.341824,MISS,,15041
58,0.332661,MISS,,14643
59,0.254938,MISS,,15980
60,0.252485,MISS,,13693
61,0.341498,MISS,,13410
62,0.214889,MISS,,14881
63,0.332586,MISS,,13942
64,0.679314,MISS,,18569
65,0.372569,MISS,,15508
66,0.385120,MISS,,18861
67,0.200913,MISS,,19950
68,0.380484,MISS,,18847
69,0.262941,MISS,,23129
70,0.372586,MISS,,22315
71,0.301001,MISS,,21538
72,0.226544,MISS,,20494
73,0.290801,MISS,,23961
74,0.261235,MISS,,29792
75,0.396937,MISS,,24823
76,0.251698,MISS,,22144
77,0.206183,MISS,,22197
78,0.364614,MISS,,26547
79,0.314731,MISS,,20690
80,0.339835,MISS,,20666
81,0.482056,MISS,,26554
82,0.393299,MISS,,17090
83,0.224591,MISS,,15856
84,0.499664,MISS,,16243
85,0.622993,MISS,,15880
86,0.289650,MISS,,18536
87,0.273006,MISS,,18167
88,0.328218,MISS,,16855
89,0.224252,MISS,,15395
90,0.169827,MISS,,15798
91,0.225987,MISS,,17011
92,0.221279,MISS,,17257
93,0.497491,MISS,,17015
94,0.344121,MISS,,16627
95,0.268700,MISS,,15021
96,0.439431,MISS,,17754
97,0.264002,MISS,,15720
98,0.139513,MISS,,16235
99,0.320397,MISS,,15453
100,0.393233,MISS,,20251
101,0.369509,MISS,,16447
102,0.435061,MISS,,16367
103,0.436785,MISS,,16737
104,0.877537,HIT,true,16157
105,0.177316,MISS,,18589
106,0.742311,MISS,,16142
107,0.759971,MISS,,15807
108,0.383596,MISS,,16850
109,0.475778,MISS,,15167
110,0.329800,MISS,,15976
111,0.219484,MISS,,18194
112,0.388133,MISS,,19033
113,0.373947,MISS,,17992
114,0.359658,MISS,,21696
115,0.342062,MISS,,15108
116,0.232882,MISS,,16940
117,0.262570,MISS,,15910
118,0.680046,MISS,,15397
119,0.400376,MISS,,13151
120,0.384052,MISS,,14166
121,0.283653,MISS,,15744
122,0.255074,MISS,,14018
123,0.165112,MISS,,14034
124,0.293383,MISS,,16289
125,0.295308,MISS,,15891
126,0.343674,MISS,,15377
127,0.302121,MISS,,15501
128,0.144045,MISS,,13491
129,0.262051,MISS,,12719
130,0.287603,MISS,,12504
131,0.385430,MISS,,11807
132,0.342216,MISS,,13299
133,0.351407,MISS,,13768
134,0.342824,MISS,,12044
135,0.213290,MISS,,11131
136,0.751959,MISS,,11549
137,0.338941,MISS,,13372
138,0.810209,MISS,,14512
139,0.420394,MISS,,12893
140,0.509762,MISS,,12257
141,0.282919,MISS,,12008
142,0.226918,MISS,,11646
143,0.483898,MISS,,11676
144,0.417686,MISS,,15042
145,0.432496,MISS,,12316
146,0.215234,MISS,,11702
147,0.450652,MISS,,11200
148,0.409591,MISS,,12016
149,0.517322,MISS,,12790
150,0.351839,MISS,,11623
151,0.199356,MISS,,11424
152,0.486627,MISS,,12533
153,0.377255,MISS,,11109
154,0.301478,MISS,,11847
155,0.294418,MISS,,12207
156,0.260836,MISS,,13473
157,0.270825,MISS,,18424
158,0.552638,MISS,,13284
159,0.392522,MISS,,11671
160,0.351300,MISS,,12111
161,0.319613,MISS,,11963
162,0.389862,MISS,,10982
163,0.671208,MISS,,13294
164,0.458252,MISS,,12320
165,0.749821,MISS,,13368
166,0.328315,MISS,,11421
167,0.288892,MISS,,11807
168,0.367154,MISS,,11934
169,0.513578,MISS,,11794
170,0.360318,MISS,,11916
171,0.434503,MISS,,11167
172,0.368175,MISS,,12792
173,0.468918,MISS,,11555
174,0.327468,MISS,,13024
175,0.302699,MISS,,14504
176,0.220330,MISS,,16377
177,0.466289,MISS,,17208
178,0.365452,MISS,,15862
179,0.414889,MISS,,11645
180,0.414229,MISS,,11165
181,0.541813,MISS,,11817
182,0.585331,MISS,,12800
183,0.279052,MISS,,10563
184,0.338417,MISS,,11599
185,0.433499,MISS,,12720
186,0.352935,MISS,,12744
187,0.260388,MISS,,11096
188,0.457474,MISS,,11587
189,0.309508,MISS,,12638
190,0.273494,MISS,,10891
191,0.281054,MISS,,11480
192,0.497078,MISS,,11440
193,0.309681,MISS,,11025
194,0.257610,MISS,,11998
